company,field,gap
帆宣,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6196&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
帆宣,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6196&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
帆宣,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6196&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
聖暉,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=5536&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
聖暉,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=5536&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
聖暉,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=5536&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
亞翔,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6139&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
亞翔,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6139&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
亞翔,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6139&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
金像電,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2368&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
金像電,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2368&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
金像電,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2368&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台光電,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2383&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台光電,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2383&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台光電,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2383&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台燿,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6274&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
台燿,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6274&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
