company,field,gap
富世達,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6805&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
南俊國際,balance,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6584&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
南俊國際,income,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6584&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
南俊國際,cashflow,fetch failed after 3 attempts: https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6584&SYEAR=114&SSEASON=4&REPORT_ID=C: HTTP Error 404: 
NVIDIA,all financial metrics,No listed-company code or complete public financial statements
Broadcom,all financial metrics,No listed-company code or complete public financial statements
Backup & Energy Storage Subsystem,profitability_raw,Insufficient public data; score remains N/A
Backup & Energy Storage Subsystem,growth_raw,Insufficient public data; score remains N/A
Backup & Energy Storage Subsystem,investment_raw,Insufficient public data; score remains N/A
Backup & Energy Storage Subsystem,operating_raw,Insufficient public data; score remains N/A
Compute Platform Subsystem,profitability_raw,Insufficient public data; score remains N/A
Compute Platform Subsystem,growth_raw,Insufficient public data; score remains N/A
Compute Platform Subsystem,investment_raw,Insufficient public data; score remains N/A
Compute Platform Subsystem,operating_raw,Insufficient public data; score remains N/A
Compute Silicon Subsystem,profitability_raw,Insufficient public data; score remains N/A
Compute Silicon Subsystem,growth_raw,Insufficient public data; score remains N/A
Compute Silicon Subsystem,investment_raw,Insufficient public data; score remains N/A
Compute Silicon Subsystem,operating_raw,Insufficient public data; score remains N/A
Coolant Distribution Subsystem,profitability_raw,Insufficient public data; score remains N/A
Coolant Distribution Subsystem,growth_raw,Insufficient public data; score remains N/A
Coolant Distribution Subsystem,investment_raw,Insufficient public data; score remains N/A
Coolant Distribution Subsystem,operating_raw,Insufficient public data; score remains N/A
Copper Interconnect Subsystem,profitability_raw,Insufficient public data; score remains N/A
Copper Interconnect Subsystem,growth_raw,Insufficient public data; score remains N/A
Copper Interconnect Subsystem,investment_raw,Insufficient public data; score remains N/A
Copper Interconnect Subsystem,operating_raw,Insufficient public data; score remains N/A
Facility Heat Rejection Subsystem,profitability_raw,Insufficient public data; score remains N/A
Facility Heat Rejection Subsystem,growth_raw,Insufficient public data; score remains N/A
Facility Heat Rejection Subsystem,investment_raw,Insufficient public data; score remains N/A
Facility Heat Rejection Subsystem,operating_raw,Insufficient public data; score remains N/A
Heat Capture Subsystem,profitability_raw,Insufficient public data; score remains N/A
Heat Capture Subsystem,growth_raw,Insufficient public data; score remains N/A
Heat Capture Subsystem,investment_raw,Insufficient public data; score remains N/A
Heat Capture Subsystem,operating_raw,Insufficient public data; score remains N/A
High-Speed PCB Subsystem,profitability_raw,Insufficient public data; score remains N/A
High-Speed PCB Subsystem,growth_raw,Insufficient public data; score remains N/A
High-Speed PCB Subsystem,investment_raw,Insufficient public data; score remains N/A
High-Speed PCB Subsystem,operating_raw,Insufficient public data; score remains N/A
Memory Subsystem,profitability_raw,Insufficient public data; score remains N/A
Memory Subsystem,growth_raw,Insufficient public data; score remains N/A
Memory Subsystem,investment_raw,Insufficient public data; score remains N/A
Memory Subsystem,operating_raw,Insufficient public data; score remains N/A
Network Interface Subsystem,profitability_raw,Insufficient public data; score remains N/A
Network Interface Subsystem,growth_raw,Insufficient public data; score remains N/A
Network Interface Subsystem,investment_raw,Insufficient public data; score remains N/A
Network Interface Subsystem,operating_raw,Insufficient public data; score remains N/A
Optical Interconnect Subsystem,profitability_raw,Insufficient public data; score remains N/A
Optical Interconnect Subsystem,growth_raw,Insufficient public data; score remains N/A
Optical Interconnect Subsystem,investment_raw,Insufficient public data; score remains N/A
Optical Interconnect Subsystem,operating_raw,Insufficient public data; score remains N/A
Power Conversion Subsystem,profitability_raw,Insufficient public data; score remains N/A
Power Conversion Subsystem,growth_raw,Insufficient public data; score remains N/A
Power Conversion Subsystem,investment_raw,Insufficient public data; score remains N/A
Power Conversion Subsystem,operating_raw,Insufficient public data; score remains N/A
Power Distribution Subsystem,profitability_raw,Insufficient public data; score remains N/A
Power Distribution Subsystem,growth_raw,Insufficient public data; score remains N/A
Power Distribution Subsystem,investment_raw,Insufficient public data; score remains N/A
Power Distribution Subsystem,operating_raw,Insufficient public data; score remains N/A
Rack Mechanical Subsystem,profitability_raw,Insufficient public data; score remains N/A
Rack Mechanical Subsystem,growth_raw,Insufficient public data; score remains N/A
Rack Mechanical Subsystem,investment_raw,Insufficient public data; score remains N/A
Rack Mechanical Subsystem,operating_raw,Insufficient public data; score remains N/A
Rack-level System Integration,profitability_raw,Insufficient public data; score remains N/A
Rack-level System Integration,growth_raw,Insufficient public data; score remains N/A
Rack-level System Integration,investment_raw,Insufficient public data; score remains N/A
Rack-level System Integration,operating_raw,Insufficient public data; score remains N/A
Semiconductor Integration Subsystem,profitability_raw,Insufficient public data; score remains N/A
Semiconductor Integration Subsystem,growth_raw,Insufficient public data; score remains N/A
Semiconductor Integration Subsystem,investment_raw,Insufficient public data; score remains N/A
Semiconductor Integration Subsystem,operating_raw,Insufficient public data; score remains N/A
Switch Platform Subsystem,profitability_raw,Insufficient public data; score remains N/A
Switch Platform Subsystem,growth_raw,Insufficient public data; score remains N/A
Switch Platform Subsystem,investment_raw,Insufficient public data; score remains N/A
Switch Platform Subsystem,operating_raw,Insufficient public data; score remains N/A
Switch Silicon Subsystem,profitability_raw,Insufficient public data; score remains N/A
Switch Silicon Subsystem,growth_raw,Insufficient public data; score remains N/A
Switch Silicon Subsystem,investment_raw,Insufficient public data; score remains N/A
Switch Silicon Subsystem,operating_raw,Insufficient public data; score remains N/A
