code,company,subindustries,year_roc,season,revenue,gross_profit,ar,inventory,ap,capex,gpm,capex_revenue,operating_demand,sources
6139,亞翔,Compute Silicon Subsystem|Facility Heat Rejection Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6139&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6139&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6139&SYEAR=114&SSEASON=4&REPORT_ID=C
2368,金像電,High-Speed PCB Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2368&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2368&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2368&SYEAR=114&SSEASON=4&REPORT_ID=C
2383,台光電,High-Speed PCB Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2383&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2383&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2383&SYEAR=114&SSEASON=4&REPORT_ID=C
6274,台燿,High-Speed PCB Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6274&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6274&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6274&SYEAR=114&SSEASON=4&REPORT_ID=C
3037,欣興,High-Speed PCB Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3037&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3037&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3037&SYEAR=114&SSEASON=4&REPORT_ID=C
8046,南電,High-Speed PCB Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=8046&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=8046&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=8046&SYEAR=114&SSEASON=4&REPORT_ID=C
3189,景碩,High-Speed PCB Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3189&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3189&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3189&SYEAR=114&SSEASON=4&REPORT_ID=C
2308,台達電,Power Conversion Subsystem|Power Distribution Subsystem|Coolant Distribution Subsystem|Facility Heat Rejection Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2308&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2308&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2308&SYEAR=114&SSEASON=4&REPORT_ID=C
2301,光寶科,Power Conversion Subsystem|Backup & Energy Storage Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2301&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2301&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2301&SYEAR=114&SSEASON=4&REPORT_ID=C
3015,全漢,Power Conversion Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3015&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3015&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3015&SYEAR=114&SSEASON=4&REPORT_ID=C
2327,國巨,Power Conversion Subsystem|Power Distribution Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2327&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2327&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2327&SYEAR=114&SSEASON=4&REPORT_ID=C
2492,華新科,Power Conversion Subsystem|Power Distribution Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2492&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2492&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2492&SYEAR=114&SSEASON=4&REPORT_ID=C
5425,台半,Power Conversion Subsystem|Power Distribution Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=5425&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=5425&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=5425&SYEAR=114&SSEASON=4&REPORT_ID=C
3533,嘉澤,Power Distribution Subsystem|Copper Interconnect Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3533&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3533&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3533&SYEAR=114&SSEASON=4&REPORT_ID=C
3665,貿聯-KY,Power Conversion Subsystem|Copper Interconnect Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3665&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3665&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3665&SYEAR=114&SSEASON=4&REPORT_ID=C
6121,新普,Backup & Energy Storage Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=6121&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=6121&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=6121&SYEAR=114&SSEASON=4&REPORT_ID=C
3324,雙鴻,Heat Capture Subsystem|Coolant Distribution Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3324&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3324&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3324&SYEAR=114&SSEASON=4&REPORT_ID=C
3017,奇鋐,Heat Capture Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3017&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3017&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3017&SYEAR=114&SSEASON=4&REPORT_ID=C
3653,健策,Heat Capture Subsystem|Compute Silicon Subsystem|Semiconductor Integration Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3653&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3653&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3653&SYEAR=114&SSEASON=4&REPORT_ID=C
3338,泰碩,Heat Capture Subsystem|Coolant Distribution Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=3338&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=3338&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=3338&SYEAR=114&SSEASON=4&REPORT_ID=C
2421,建準,Heat Capture Subsystem|Coolant Distribution Subsystem|Facility Heat Rejection Subsystem,114,4,,,,,,,,,,https://mops.twse.com.tw/server-java/t164sb03?step=1&CO_ID=2421&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb04?step=1&CO_ID=2421&SYEAR=114&SSEASON=4&REPORT_ID=C|https://mops.twse.com.tw/server-java/t164sb05?step=1&CO_ID=2421&SYEAR=114&SSEASON=4&REPORT_ID=C
